country,year,child_mortality,children_per_woman,life_expectancy,continent,pop,gdpPercap
Burkina Faso,1957,356,6.23,38.4,Africa,4713416,617.1834648
Burkina Faso,1962,335,6.34,40.4,Africa,4919632,722.5120206
Burkina Faso,1967,321,6.53,42.8,Africa,5127935,794.8265597
Burkina Faso,1972,310,6.7,44.8,Africa,5433886,854.7359763
Burkina Faso,1977,264,6.98,46.9,Africa,5889574,743.3870368
Burkina Faso,1982,229,7.17,49.5,Africa,6634596,807.1985855
Burkina Faso,1987,207,7.09,50.9,Africa,7586551,912.0631417
Burkina Faso,1992,199,6.95,50.5,Africa,8878303,931.7527731
Burkina Faso,1997,189,6.75,50.8,Africa,10352843,946.2949618
Burkina Faso,2002,171,6.47,53.4,Africa,12251209,1037.645221
Burkina Faso,2007,137,6.12,56.5,Africa,14326203,1217.032994
Bangladesh,1952,325,6.33,40.4,Asia,46886859,684.2441716
Bangladesh,1957,282,6.6,42.9,Asia,51365468,661.6374577
Bangladesh,1962,248,6.79,45.5,Asia,56839289,686.3415538
Bangladesh,1967,228,6.92,48,Asia,62821884,721.1860862
Bangladesh,1972,222,6.93,49.4,Asia,70759295,630.2336265
Bangladesh,1977,211,6.68,51.6,Asia,80428306,659.8772322
Bangladesh,1982,189,6.06,53.6,Asia,93074406,676.9818656
Bangladesh,1987,162,5.13,55.8,Asia,103764241,751.9794035
Bangladesh,1992,132,4.2,60.2,Asia,113704579,837.8101643
Bangladesh,1997,103,3.47,63.8,Asia,123315288,972.7700352
Bangladesh,2002,78.2,2.91,66.3,Asia,135656790,1136.39043
Bangladesh,2007,58.8,2.44,68.2,Asia,150448339,1391.253792
Bulgaria,1952,156,2.55,60.1,Europe,7274900,2444.286648
Bulgaria,1957,100,2.31,66.8,Europe,7651254,3008.670727
Bulgaria,1962,53.1,2.21,70,Europe,8012946,4254.337839
Bulgaria,1967,36.5,2.14,70.9,Europe,8310226,5577.0028
Bulgaria,1972,30.2,2.16,71.1,Europe,8576200,6597.494398
Bulgaria,1977,27.1,2.18,71,Europe,8797022,7612.240438
Bulgaria,1982,22.2,2.06,71,Europe,8892098,8224.191647
Bulgaria,1987,18.1,1.94,70.3,Europe,8971958,8239.854824
Bulgaria,1992,19.1,1.6,69.8,Europe,8658506,6302.623438
Bulgaria,1997,19.3,1.23,68.9,Europe,8066057,5970.38876
Bulgaria,2002,15.9,1.22,70.7,Europe,7661799,7696.777725
Bulgaria,2007,11.9,1.42,71.5,Europe,7322858,10680.79282
Bahrain,1952,313,6.97,51.1,Asia,120447,9867.084765
Bahrain,1957,257,6.97,54.9,Asia,138655,11635.79945
Bahrain,1962,166,7.17,58.8,Asia,171863,12753.27514
Bahrain,1967,103,7,62.1,Asia,202182,14804.6727
Bahrain,1972,61.8,6.09,65.4,Asia,230800,18268.65839
Bahrain,1977,39.7,5.28,67.5,Asia,297410,19340.10196
Bahrain,1982,28.8,4.69,69,Asia,377967,19211.14731
Bahrain,1987,23.7,4.13,69.4,Asia,454612,18524.02406
Bahrain,1992,22,3.47,69.8,Asia,529491,19035.57917
Bahrain,1997,15.2,2.93,70.9,Asia,598561,20292.01679
Bahrain,2002,11.6,2.67,72.7,Asia,656397,23403.55927
Bahrain,2007,9.79,2.29,73.6,Asia,708573,29796.04834
Bosnia and Herzegovina,1952,201,4.9,53.7,Europe,2791000,973.5331948
Bosnia and Herzegovina,1957,167,4.07,57.5,Europe,3076000,1353.989176
Bosnia and Herzegovina,1962,129,3.68,62.2,Europe,3349000,1709.683679
Bosnia and Herzegovina,1967,94,3.21,65.3,Europe,3585000,2172.352423
Bosnia and Herzegovina,1972,65.4,2.76,66.7,Europe,3819000,2860.16975
Bosnia and Herzegovina,1977,45.1,2.32,69.2,Europe,4086000,3528.481305
Bosnia and Herzegovina,1982,33.5,2.03,70,Europe,4172693,4126.613157
Bosnia and Herzegovina,1987,23,1.87,72,Europe,4338977,4314.114757
Bosnia and Herzegovina,1992,18,1.73,68.1,Europe,4256013,2546.781445
Bosnia and Herzegovina,1997,11.5,1.66,73.9,Europe,3607000,4766.355904
Bosnia and Herzegovina,2002,9.3,1.37,75.1,Europe,4165416,6018.975239
Bosnia and Herzegovina,2007,8.26,1.29,75.3,Europe,4552198,7446.298803
Bolivia,1952,314,6.75,37.2,Americas,2883315,2677.326347
Bolivia,1957,300,6.75,41.8,Americas,3211738,2127.686326
Bolivia,1962,278,6.65,43.9,Americas,3593918,2180.972546
Bolivia,1967,247,6.59,47.9,Americas,4040665,2586.886053
Bolivia,1972,216,6.5,51.4,Americas,4565872,2980.331339
Bolivia,1977,184,5.9,54.9,Americas,5079716,3548.097832
Bolivia,1982,159,5.34,57.6,Americas,5642224,3156.510452
Bolivia,1987,136,5.03,60.1,Americas,6156369,2753.69149
Bolivia,1992,112,4.81,62.5,Americas,6893451,2961.699694
Bolivia,1997,89,4.37,65,Americas,7693188,3326.143191
Bolivia,2002,67,3.87,67.6,Americas,8445134,3413.26269
Bolivia,2007,49.4,3.43,69.6,Americas,9119152,3822.137084
Brazil,1952,207,6.15,48.5,Americas,56602560,2108.944355
Brazil,1957,185,6.18,50.9,Americas,65551171,2487.365989
Brazil,1962,160,6.14,53.5,Americas,76039390,3336.585802
Brazil,1967,142,5.49,55.6,Americas,88049823,3429.864357
Brazil,1972,126,4.78,58,Americas,100840058,4985.711467
Brazil,1977,109,4.34,61.1,Americas,114313951,6660.118654
Brazil,1982,87.9,3.85,63.9,Americas,128962939,7030.835878
Brazil,1987,71.3,3.17,65.7,Americas,142938076,7807.095818
Brazil,1992,57.2,2.64,68.3,Americas,155975974,6950.283021
Brazil,1997,42.2,2.46,70.1,Americas,168546719,7957.980824
Brazil,2002,30.5,2.16,71.8,Americas,179914212,8131.212843
Brazil,2007,21.9,1.88,73.3,Americas,190010647,9065.800825
Botswana,1952,221,6.49,53.8,Africa,442308,851.2411407
Botswana,1957,187,6.57,54.1,Africa,474639,918.2325349
Botswana,1962,159,6.65,54.6,Africa,512764,983.6539764
Botswana,1967,135,6.7,55.5,Africa,553541,1214.709294
Botswana,1972,111,6.58,57.5,Africa,619351,2263.611114
Botswana,1977,85.3,6.39,59.9,Africa,781472,3214.857818
Botswana,1982,63.9,5.98,61.6,Africa,970347,4551.14215
Botswana,1987,50.9,5.04,62.7,Africa,1151184,6205.88385
Botswana,1992,57.1,4.29,58.6,Africa,1342614,7954.111645
Botswana,1997,78.8,3.72,49,Africa,1536536,8647.142313
Botswana,2002,84.3,3.19,44.9,Africa,1630347,11003.60508
Botswana,2007,61.7,2.92,53.4,Africa,1639131,12569.85177
Central African Republic,1952,317,5.49,43.9,Africa,1291695,1071.310713
Central African Republic,1957,295,5.73,44.7,Africa,1392284,1190.844328
Central African Republic,1962,271,5.89,46.5,Africa,1523478,1193.068753
Central African Republic,1967,241,5.95,47.5,Africa,1733638,1136.056615
Central African Republic,1972,214,5.95,48.2,Africa,1927260,1070.013275
Central African Republic,1977,195,5.95,48.7,Africa,2167533,1109.374338
Central African Republic,1982,182,5.96,49.5,Africa,2476971,956.7529907
Central African Republic,1987,177,5.91,49.4,Africa,2840009,844.8763504
Central African Republic,1992,179,5.73,46.8,Africa,3265124,747.9055252
Central African Republic,1997,175,5.56,43.8,Africa,3696513,740.5063317
Central African Republic,2002,169,5.46,44.2,Africa,4048013,738.6906068
Central African Republic,2007,160,5.32,46.1,Africa,4369038,706.016537
Canada,1952,43.9,3.61,69,Americas,14785584,11367.16112
Canada,1957,35.8,3.91,70.4,Americas,17010154,12489.95006
Canada,1962,30.5,3.7,71.4,Americas,18985849,13462.48555
Canada,1967,25,2.75,72.2,Americas,20819767,16076.58803
Canada,1972,19.9,2.01,73,Americas,22284500,18970.57086
Canada,1977,15.1,1.74,74.3,Americas,23796400,22090.88306
Canada,1982,11.2,1.63,75.8,Americas,25201900,22898.79214
Canada,1987,9.12,1.62,76.8,Americas,26549700,26626.51503
Canada,1992,7.68,1.68,77.8,Americas,28523502,26342.88426
Canada,1997,6.53,1.58,78.6,Americas,30305843,28954.92589
Canada,2002,6.15,1.52,79.8,Americas,31902268,33328.96507
Canada,2007,5.9,1.62,80.9,Americas,33390141,36319.23501
Switzerland,1952,35.8,2.3,69.6,Europe,4815000,14734.23275
Switzerland,1957,28.9,2.39,70.8,Europe,5126000,17909.48973
Switzerland,1962,25.4,2.58,71.7,Europe,5666000,20431.0927
Switzerland,1967,20.7,2.4,72.9,Europe,6063000,22966.14432
Switzerland,1972,16.7,1.92,74,Europe,6401400,27195.11304
Switzerland,1977,12.1,1.57,75.5,Europe,6316424,26982.29052
Switzerland,1982,9.66,1.52,76.4,Europe,6468126,28397.71512
Switzerland,1987,8.76,1.55,77.7,Europe,6649942,30281.70459
Switzerland,1992,7.47,1.54,78.4,Europe,6995447,31871.5303
Switzerland,1997,5.95,1.49,79.6,Europe,7193761,32135.32301
Switzerland,2002,5.44,1.42,80.9,Europe,7361757,34480.95771
Switzerland,2007,4.82,1.46,82.2,Europe,7554661,37506.41907
Chile,1952,221,5.02,53.5,Americas,6377619,3939.978789
Chile,1957,178,5.24,55.5,Americas,7048426,4315.622723
Chile,1962,142,5,56.8,Americas,7961258,4519.094331
Chile,1967,94,4.5,60.2,Americas,8858908,5106.654313
Chile,1972,77.7,3.67,62.3,Americas,9717524,5494.024437
Chile,1977,48.8,2.99,67.2,Americas,10599793,4756.763836
Chile,1982,27.1,2.71,71,Americas,11487112,5095.665738
Chile,1987,21.9,2.64,73.2,Americas,12463354,5547.063754
Chile,1992,16.2,2.46,74.7,Americas,13572994,7596.125964
Chile,1997,12.2,2.23,76,Americas,14599929,10118.05318
Chile,2002,9.8,2.05,77.4,Americas,15497046,10778.78385
Chile,2007,8.91,1.95,78.4,Americas,16284741,13171.63885
China,1952,306,5.97,43.6,Asia,556263527,400.448611
China,1957,251,6.21,52.3,Asia,637408000,575.9870009
China,1962,168,5.97,53.5,Asia,665770000,487.6740183
China,1967,130,5.25,59.5,Asia,754550000,612.7056934
China,1972,101,4.92,61.9,Asia,862030000,676.9000921
China,1977,74.5,2.87,63.5,Asia,943455000,741.2374699
China,1982,57.5,2.58,65.3,Asia,1000281000,962.4213805
China,1987,53.8,2.65,67.3,Asia,1084035000,1378.904018
China,1992,52.2,2.02,68.7,Asia,1164970000,1655.784158
China,1997,43.5,1.53,70.5,Asia,1230075000,2289.234136
China,2002,31.5,1.52,72,Asia,1280400000,3119.280896
China,2007,20.1,1.58,74.2,Asia,1318683096,4959.114854
Cote d'Ivoire,1952,384,6.74,42.4,Africa,2977019,1388.594732
Cote d'Ivoire,1957,343,7.12,43.9,Africa,3300000,1500.895925
Cote d'Ivoire,1962,302,7.51,46.5,Africa,3832408,1728.869428
Cote d'Ivoire,1967,265,7.82,49.3,Africa,4744870,2052.050473
Cote d'Ivoire,1972,229,7.94,52.3,Africa,6071696,2378.201111
Cote d'Ivoire,1977,186,7.83,55.1,Africa,7459574,2517.736547
Cote d'Ivoire,1982,160,7.38,57.2,Africa,9025951,2602.710169
Cote d'Ivoire,1987,154,6.82,57.2,Africa,10761098,2156.956069
Cote d'Ivoire,1992,156,6.3,54.3,Africa,12772596,1648.073791
Cote d'Ivoire,1997,152,5.92,51.1,Africa,14625967,1786.265407
Cote d'Ivoire,2002,138,5.58,51.7,Africa,16252726,1648.800823
Cote d'Ivoire,2007,119,5.34,55.3,Africa,18013409,1544.750112
Cameroon,1952,347,5.49,42.9,Africa,5009067,1172.667655
Cameroon,1957,303,5.51,45.1,Africa,5359923,1313.048099
Cameroon,1962,266,5.77,48.5,Africa,5793633,1399.607441
Cameroon,1967,238,6.06,50.3,Africa,6335506,1508.453148
Cameroon,1972,197,6.29,52.5,Africa,7021028,1684.146528
Cameroon,1977,189,6.49,54.2,Africa,7959865,1783.432873
Cameroon,1982,169,6.69,56.3,Africa,9250831,2367.983282
Cameroon,1987,140,6.63,58.4,Africa,10780667,2602.664206
Cameroon,1992,142,6.26,57.8,Africa,12467171,1793.163278
Cameroon,1997,153,5.8,55.7,Africa,14195809,1694.337469
Cameroon,2002,142,5.48,54.2,Africa,15929988,1934.011449
Cameroon,2007,121,5.27,55.9,Africa,17696293,2042.09524
"Congo, Dem. Rep.",1952,297,5.98,45.9,Africa,14100005,780.5423257
"Congo, Dem. Rep.",1957,281,5.98,47,Africa,15577932,905.8602303
"Congo, Dem. Rep.",1962,269,6.03,47.9,Africa,17486434,896.3146335
"Congo, Dem. Rep.",1967,256,6.14,48.9,Africa,19941073,861.5932424
"Congo, Dem. Rep.",1972,239,6.27,50,Africa,23007669,904.8960685
"Congo, Dem. Rep.",1977,221,6.44,51.3,Africa,26480870,795.757282
"Congo, Dem. Rep.",1982,205,6.69,52.7,Africa,30646495,673.7478181
"Congo, Dem. Rep.",1987,193,6.96,54,Africa,35481645,672.774812
"Congo, Dem. Rep.",1992,182,7.19,54.1,Africa,41672143,457.7191807
"Congo, Dem. Rep.",1997,171,7.11,53.1,Africa,47798986,312.188423
"Congo, Dem. Rep.",2002,152,6.86,54.4,Africa,55379852,241.1658765
"Congo, Dem. Rep.",2007,128,6.61,57.1,Africa,64606759,277.5518587
"Congo, Rep.",1952,231,5.68,42.2,Africa,854885,2125.621418
"Congo, Rep.",1957,199,5.77,43,Africa,940458,2315.056572
"Congo, Rep.",1962,175,5.97,44.4,Africa,1047924,2464.783157
"Congo, Rep.",1967,154,6.18,45.9,Africa,1179760,2677.939642
"Congo, Rep.",1972,134,6.35,48.1,Africa,1340458,3213.152683
"Congo, Rep.",1977,118,6.36,50.7,Africa,1536769,3259.178978
"Congo, Rep.",1982,103,6.05,54.2,Africa,1774735,4879.507522
"Congo, Rep.",1987,90,5.59,55.4,Africa,2064095,4201.194937
"Congo, Rep.",1992,94.3,5.24,53.5,Africa,2409073,4016.239529
"Congo, Rep.",1997,112,5.12,46.7,Africa,2800947,3484.164376
"Congo, Rep.",2002,106,5.08,54.7,Africa,3328795,3484.06197
"Congo, Rep.",2007,73.6,5.01,58.5,Africa,3800610,3632.557798
Colombia,1952,179,6.76,55.9,Americas,12350771,2144.115096
Colombia,1957,151,6.78,57.9,Americas,14485993,2323.805581
Colombia,1962,127,6.78,60.1,Americas,17009885,2492.351109
Colombia,1967,108,6.25,62.4,Americas,19764027,2678.729839
Colombia,1972,90.6,5.07,65.1,Americas,22542890,3264.660041
Colombia,1977,69.9,4.28,67.8,Americas,25094412,3815.80787
Colombia,1982,50.8,3.74,69.6,Americas,27764644,4397.575659
Colombia,1987,39.1,3.23,70.2,Americas,30964245,4903.2191
Colombia,1992,33,2.86,71.1,Americas,34202721,5444.648617
Colombia,1997,27.7,2.54,73.5,Americas,37657830,6117.361746
Colombia,2002,23.5,2.31,73.4,Americas,41008227,5755.259962
Colombia,2007,20.3,2.12,77.3,Americas,44227550,7006.580419
Comoros,1952,293,5.93,45.1,Africa,153936,1102.990936
Comoros,1957,313,6.56,46.2,Africa,170928,1211.148548
Comoros,1962,300,6.9,47.9,Africa,191689,1406.648278
Comoros,1967,243,7.04,50.3,Africa,217378,1876.029643
Comoros,1972,218,7.06,52,Africa,250027,1937.577675
Comoros,1977,193,7.08,53.5,Africa,304739,1172.603047
Comoros,1982,164,7.03,55.3,Africa,348643,1267.100083
Comoros,1987,138,6.14,57.4,Africa,395114,1315.980812
Comoros,1992,117,5.36,59,Africa,454429,1246.90737
Comoros,1997,104,5.27,60.1,Africa,527982,1173.618235
Comoros,2002,102,5.3,62.5,Africa,614382,1075.811558
Comoros,2007,95.2,5.11,64.5,Africa,710960,986.1478792
Costa Rica,1952,135,6.25,59.3,Americas,926317,2627.009471
Costa Rica,1957,117,6.54,62.4,Americas,1112300,2990.010802
Costa Rica,1962,99.4,6.32,65.4,Americas,1345187,3460.937025
Costa Rica,1967,81.7,5.38,66.7,Americas,1588717,4161.727834
Costa Rica,1972,64.7,4.19,68.8,Americas,1834796,5118.146939
Costa Rica,1977,33.9,3.7,73.8,Americas,2108457,5926.876967
Costa Rica,1982,22.8,3.52,75.7,Americas,2424367,5262.734751
Costa Rica,1987,20.1,3.33,76.3,Americas,2799811,5629.915318
Costa Rica,1992,15.6,3.04,76.9,Americas,3173216,6160.416317
Costa Rica,1997,14.7,2.65,77.2,Americas,3518107,6677.045314
Costa Rica,2002,11.6,2.22,78.4,Americas,3834934,7723.447195
Costa Rica,2007,10.3,2.01,80.3,Americas,4133884,9645.06142
Cuba,1952,48.3,4.22,66.7,Americas,6007797,5586.53878
Cuba,1957,46.9,3.72,67.1,Americas,6640752,6092.174359
Cuba,1962,54.7,4.51,68.8,Americas,7254373,5180.75591
Cuba,1967,44.3,4.43,70.1,Americas,8139332,5690.268015
Cuba,1972,34.1,3.65,72.8,Americas,8831348,5305.445256
Cuba,1977,25.9,2.33,72.7,Americas,9537988,6380.494966
Cuba,1982,19.9,1.83,74.3,Americas,9789224,7316.918107
Cuba,1987,15.5,1.83,74.9,Americas,10239839,7532.924763
Cuba,1992,12.1,1.68,75.2,Americas,10723260,5592.843963
Cuba,1997,9.67,1.63,76.2,Americas,10983007,5431.990415
Cuba,2002,7.93,1.59,77.9,Americas,11226999,6340.646683
Cuba,2007,6.71,1.58,78.5,Americas,11416987,8948.102923
Czech Republic,1952,61.8,2.75,66.7,Europe,9125183,6876.14025
Czech Republic,1957,35.4,2.41,69.2,Europe,9513758,8256.343918
Czech Republic,1962,30.1,2.2,70.2,Europe,9620282,10136.86713
Czech Republic,1967,29.6,1.99,70.4,Europe,9835109,11399.44489
Czech Republic,1972,27.1,2.18,70.4,Europe,9862158,13108.4536
Czech Republic,1977,24.8,2.34,70.8,Europe,10161915,14800.16062
Czech Republic,1982,15,2.04,71,Europe,10303704,15377.22855
Czech Republic,1987,13.4,1.9,71.7,Europe,10311597,16310.4434
Czech Republic,1992,11,1.66,72.4,Europe,10315702,14297.02122
Czech Republic,1997,6.95,1.22,74.1,Europe,10300707,16048.51424
Czech Republic,2002,4.97,1.17,75.7,Europe,10256295,17596.21022
Czech Republic,2007,3.92,1.39,77.2,Europe,10228744,22833.30851
Germany,1952,56.9,2.11,67.3,Europe,69145952,7144.114393
Germany,1957,46.4,2.27,68.9,Europe,71019069,10187.82665
Germany,1962,36.6,2.47,70,Europe,73739117,12902.46291
Germany,1967,28.2,2.37,70.8,Europe,76368453,14745.62561
Germany,1972,24,1.8,71,Europe,78717088,18016.18027
Germany,1977,18.3,1.5,72.5,Europe,78160773,20512.92123
Germany,1982,13.2,1.46,73.8,Europe,78335266,22031.53274
Germany,1987,10.1,1.43,75.3,Europe,77718298,24639.18566
Germany,1992,7.59,1.32,76.2,Europe,80597764,26505.30317
Germany,1997,5.92,1.33,77.5,Europe,82011073,27788.88416
Germany,2002,5.09,1.35,78.8,Europe,82350671,30035.80198
Germany,2007,4.49,1.36,80,Europe,82400996,32170.37442
Djibouti,1952,283,6.31,54.9,Africa,63149,2669.529475
Djibouti,1957,263,6.38,55.6,Africa,71851,2864.969076
Djibouti,1962,242,6.53,56.7,Africa,89898,3020.989263
Djibouti,1967,219,6.7,57.6,Africa,127617,3020.050513
Djibouti,1972,189,6.84,59.1,Africa,178848,3694.212352
Djibouti,1977,168,6.67,60.7,Africa,228694,3081.761022
Djibouti,1982,146,6.32,60.8,Africa,305991,2879.468067
Djibouti,1987,127,6.19,60.6,Africa,311025,2880.102568
Djibouti,1992,114,5.88,59,Africa,384156,2377.156192
Djibouti,1997,107,4.96,60.4,Africa,417908,1895.016984
Djibouti,2002,96.5,4.24,60.6,Africa,447416,1908.260867
Djibouti,2007,83.8,3.62,62.1,Africa,496374,2082.481567
Denmark,1952,32.6,2.54,71.1,Europe,4334000,9692.385245
Denmark,1957,27.1,2.56,72.2,Europe,4487831,11099.65935
Denmark,1962,23.8,2.54,72.6,Europe,4646899,13583.31351
Denmark,1967,19.1,2.35,73.1,Europe,4838800,15937.21123
Denmark,1972,14.9,2.03,73.7,Europe,4991596,18866.20721
Denmark,1977,11.1,1.66,74.7,Europe,5088419,20422.9015
Denmark,1982,9.62,1.43,74.7,Europe,5117810,21688.04048
Denmark,1987,9.71,1.5,75,Europe,5127024,25116.17581
Denmark,1992,7.89,1.76,75.5,Europe,5171393,26406.73985
Denmark,1997,5.99,1.75,76.3,Europe,5283663,29804.34567
Denmark,2002,5.28,1.72,77.4,Europe,5374693,32166.50006
Denmark,2007,4.47,1.85,78.7,Europe,5468120,35278.41874
Dominican Republic,1952,148,7.59,58.7,Americas,2491346,1397.717137
Dominican Republic,1957,149,7.67,61,Americas,2923186,1544.402995
Dominican Republic,1962,145,7.4,63,Americas,3453434,1662.137359
Dominican Republic,1967,132,6.74,63.9,Americas,4049146,1653.723003
